date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-22T00:00:00.000+0000,c5.2xlarge,cmp,prod,76.587453552,311.331112,8,8966336.025600000,0.03075
2023-06-22T00:00:00.000+0000,c5.2xlarge,io,prod,113.616671202,461.856387,8,13301463.9456,0.030750000000000000
2023-06-22T00:00:00.000+0000,m5.4xlarge,cmp,prod,159.04362114850000,329.238883,16,18964159.6608,0.03019153215199450
2023-06-22T00:00:00.000+0000,m5a.4xlarge,cmp,prod,9.439794768,15.832224,16,911936.1024,0.03726495866910420
2023-06-22T00:00:00.000+0000,m5ad.8xlarge,io,prod,73.72149377940000,60.756666,32,6999167.923200000,0.03791841837743780
2023-06-22T00:00:00.000+0000,m5d.8xlarge,io,prod,3595.5628582773,3343.50169,32,385171394.688,0.03360588680341470
2023-06-22T00:00:00.000+0000,m5dn.8xlarge,io,prod,14.2219522529,11.771668,32,1356096.1536,0.03775471818463830
2023-06-22T00:00:00.000+0000,m5n.4xlarge,cmp,prod,0.4430732642,0.737501,16,42480.0576,0.037548530798602300
2023-06-22T00:00:00.000+0000,m6a.4xlarge,cmp,prod,152.5564067337,261.206936,16,15045519.5136,0.03650276507533570
2023-06-22T00:00:00.000+0000,m6i.4xlarge,cmp,prod,198.6840931301,353.904439,16,20384895.6864,0.03508787811681350
2023-06-22T00:00:00.000+0000,m6id.8xlarge,io,prod,11.6110882745,9.66611,32,1113535.872,0.03753800738643830
2023-06-22T00:00:00.000+0000,m6idn.8xlarge,io,prod,7.6261466036,6.277221,32,723135.8592,0.03796538012004040
2023-06-22T00:00:00.000+0000,m6in.4xlarge,cmp,prod,11.2053921569,18.528054,16,1067215.9104000000,0.037798735355923000
2023-06-22T00:00:00.000+0000,r5.2xlarge,cmp,prod,1727.9740736918000,9786.639412,8,281855215.06560000,0.02207057500725200
2023-06-22T00:00:00.000+0000,r5a.2xlarge,cmp,prod,9.3896549159,31.375836,8,903624.0768,0.03740798697722350
2023-06-22T00:00:00.000+0000,r5ad.4xlarge,io,prod,2074.2599081714,3599.4403620000000,16,207327764.8512,0.03601705577049160
2023-06-22T00:00:00.000+0000,r5ad.8xlarge,io,prod,426.3244401736,359.51889800000000,32,41416577.049600000,0.03705685244792060
2023-06-22T00:00:00.000+0000,r5b.2xlarge,cmp,prod,120.0844635739,398.53945,8,11477936.160000000,0.03766391996259720
2023-06-22T00:00:00.000+0000,r5d.4xlarge,io,prod,3928.4012844851,6920.4867810000000,16,398620038.5856,0.03547800726307300
2023-06-22T00:00:00.000+0000,r5d.8xlarge,io,prod,1709.1695369197,1836.85365,32,211605540.48,0.02907773737376440
2023-06-22T00:00:00.000+0000,r5dn.4xlarge,io,prod,1824.2498938132,3082.858995,16,177572678.112,0.036983727944821200
2023-06-22T00:00:00.000+0000,r5dn.8xlarge,io,prod,146.09793475110000,121.768335,32,14027712.192000000,0.03749382350486990
2023-06-22T00:00:00.000+0000,r5n.2xlarge,cmp,prod,90.0597268662,301.640281,8,8687240.0928,0.037320830695934100
2023-06-22T00:00:00.000+0000,r6a.2xlarge,cmp,prod,109.1087773263,363.325294,8,10463768.4672,0.03753825398621300
2023-06-22T00:00:00.000+0000,r6i.2xlarge,cmp,prod,130.7352862063,452.371696,8,13028304.8448,0.03612496299014140
2023-06-22T00:00:00.000+0000,r6id.4xlarge,io,prod,20.151144142,33.314169,16,1918896.1344,0.03780513056996860
2023-06-22T00:00:00.000+0000,r6id.8xlarge,io,prod,54.7815224247,47.731946,32,5498720.1792,0.03586534217087810
2023-06-22T00:00:00.000+0000,r6idn.4xlarge,io,prod,486.7703738967,804.405031,16,46333729.7856,0.0378206838546535
2023-06-22T00:00:00.000+0000,r6idn.8xlarge,io,prod,343.64472556280000,285.47248,32,32886429.696,0.03761797870616990
2023-06-22T00:00:00.000+0000,r6in.2xlarge,cmp,prod,84.4126374553,278.664419,8,8025535.267200000,0.03786482579935150
2023-06-23T00:00:00.000+0000,c5.2xlarge,cmp,prod,51.754299918,210.383333,8,6059039.9904,0.030750000000000000
2023-06-23T00:00:00.000+0000,c5.2xlarge,io,prod,78.677154918,319.825833,8,9210983.9904,0.03075
2023-06-23T00:00:00.000+0000,m5.4xlarge,cmp,prod,565.2035841345,1137.079734,16,65495792.6784,0.031066620002222500
2023-06-23T00:00:00.000+0000,m5a.4xlarge,cmp,prod,0.019917065,0.033334,16,1920.0384,0.03734375000000000
2023-06-23T00:00:00.000+0000,m5ad.8xlarge,io,prod,19.8849097257,16.492499000000000,32,1899935.8848000000,0.0376779424954414
2023-06-23T00:00:00.000+0000,m5d.8xlarge,io,prod,238.2759805892,218.952784,32,25223360.7168,0.034007900047585100
2023-06-23T00:00:00.000+0000,m5n.4xlarge,cmp,prod,4.7111804416,7.833892,16,451232.1792,0.03758652501208850
2023-06-23T00:00:00.000+0000,m6a.4xlarge,cmp,prod,122.1981615041,205.868069,16,11858000.7744,0.03709844431486970
2023-06-23T00:00:00.000+0000,m6i.4xlarge,cmp,prod,241.6393132033,447.412794,16,25770976.9344,0.033755085410468300
2023-06-23T00:00:00.000+0000,m6id.8xlarge,io,prod,5.6781794364,4.690278,32,540320.0256,0.037832108755067400
2023-06-23T00:00:00.000+0000,m6in.4xlarge,cmp,prod,4.9637300486,8.143055,16,469039.968,0.0380978794859546
2023-06-23T00:00:00.000+0000,r5.2xlarge,cmp,prod,1821.2987733318,10433.623146000000,8,300488346.60480000,0.021820066096000000
2023-06-23T00:00:00.000+0000,r5a.2xlarge,cmp,prod,5.8453315736,19.541387,8,562791.9456,0.03739071575113890
2023-06-23T00:00:00.000+0000,r5ad.4xlarge,io,prod,2372.4337717576000,4082.505032,16,235152289.8432,0.03632012932564830
2023-06-23T00:00:00.000+0000,r5ad.8xlarge,io,prod,773.670073761,657.866944,32,75786271.9488,0.036750881049027500
2023-06-23T00:00:00.000+0000,r5b.2xlarge,cmp,prod,101.5131277278,335.144728,8,9652168.1664,0.03786167558624110
2023-06-23T00:00:00.000+0000,r5d.4xlarge,io,prod,4977.6093334272,8793.14785,16,506485316.16,0.03537988768597810
2023-06-23T00:00:00.000+0000,r5d.8xlarge,io,prod,1182.5281352372,1403.552193,32,161689212.6336,0.026328913460051500
2023-06-23T00:00:00.000+0000,r5dn.4xlarge,io,prod,2655.2994792669,4502.920631,16,259368228.3456,0.03685523931105270
2023-06-23T00:00:00.000+0000,r5dn.8xlarge,io,prod,190.4042636946,157.491944,32,18143071.9488,0.03778055619439330
2023-06-23T00:00:00.000+0000,r5n.2xlarge,cmp,prod,107.9445889232,361.58053,8,10413519.264,0.037316925265306700
2023-06-23T00:00:00.000+0000,r6a.2xlarge,cmp,prod,101.5878561821,337.97695300000000,8,9733736.2464,0.03757203534160060
2023-06-23T00:00:00.000+0000,r6i.2xlarge,cmp,prod,60.908028832300000,210.326388,8,6057399.974400000,0.036198518295467000
2023-06-23T00:00:00.000+0000,r6id.4xlarge,io,prod,15.7747861665,26.180827,16,1508015.6352,0.0376582502686508
2023-06-23T00:00:00.000+0000,r6id.8xlarge,io,prod,178.3412943323,154.82723,32,17836096.896000000,0.03599602891483870
2023-06-23T00:00:00.000+0000,r6idn.4xlarge,io,prod,515.6639882412,856.534746,16,49336401.369600000,0.03762719424469790
2023-06-23T00:00:00.000+0000,r6idn.8xlarge,io,prod,484.9089286665,402.311409,32,46346274.316800000,0.03766585704962730
2023-06-23T00:00:00.000+0000,r6in.2xlarge,cmp,prod,53.3574448326,176.37917400000000,8,5079720.2112,0.03781444516842450
