date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-03-03,m5d.8xlarge,io,prod,815.7637176755,1123.945817,32,129478558.1184,131.072,4,2,2,16,64739279.0592,0.02268135686950060
2023-03-03,m5dn.8xlarge,io,prod,5.139254021300000,7.303889,32,841408.0128,131.072,4,2,2,16,420704.0064,0.021988517098990000
2023-03-03,m5n.4xlarge,cmp,prod,18.0485976386,35.421945,16,2040304.032,65.536,2,1,1,8,1020152.016,0.03184572028476980
2023-03-03,m6id.8xlarge,io,prod,0.3494643207,0.476945,32,54944.064,131.072,4,2,2,16,27472.032,0.022897315249924000
2023-03-03,m6idn.8xlarge,io,prod,174.555955938,262.101665,32,30194111.808,131.072,4,2,2,16,15097055.904,0.02081205254099590
2023-03-03,m6in.4xlarge,cmp,prod,74.83422695050000,111.111106,16,6399999.7056,65.536,2,1,1,8,3199999.8528,0.04209425459599200
2023-03-03,r5.2xlarge,cmp,prod,1729.0091883608,7932.581157,8,228458337.3216,65.536,1,1,1,0,0,0.02724537502580510
2023-03-03,r5a.2xlarge,cmp,prod,93.8903100059,459.921384,8,13245735.8592,65.536,1,1,1,0,0,0.025518032339930300
2023-03-03,r5ad.4xlarge,io,prod,2422.8522934208000,4745.588023,16,273345870.1248,131.072,2,2,2,0,0,0.031909273962444
2023-03-03,r5b.2xlarge,cmp,prod,184.9582986476,503.468595,8,14499895.536,65.536,1,1,1,0,0,0.045921011877513400
2023-03-03,r5d.4xlarge,io,prod,914.6181683296,2223.466981,16,128071698.1056,131.072,2,2,2,0,0,0.025709235176000100
2023-03-03,r5dn.4xlarge,io,prod,2968.997207537,7262.370858,16,418312561.4208,131.072,2,2,2,0,0,0.02555120484747110
2023-03-03,r5n.2xlarge,cmp,prod,252.1363408356,1158.995282,8,33379064.1216,65.536,1,1,1,0,0,0.02719341751768240
2023-03-03,r6a.2xlarge,cmp,prod,28.9486115264,147.66721900000000,8,4252815.9072,65.536,1,1,1,0,0,0.024504940672039100
2023-03-03,r6i.2xlarge,cmp,prod,479.8566040786,2307.858904,8,66466336.435200000,65.536,1,1,1,0,0,0.025990356432043400
2023-03-03,r6id.4xlarge,io,prod,35.2469480455,68.77056,16,3961184.256,131.072,2,2,2,0,0,0.03203310039708490
2023-03-03,r6idn.4xlarge,io,prod,427.7876158189,770.494991,16,44380511.4816,131.072,2,2,2,0,0,0.03470071356853410
2023-03-03,r6in.2xlarge,cmp,prod,371.5501476063,1789.667254,8,51542416.9152,65.536,1,1,1,0,0,0.02595106344320890
2023-03-04,c5.2xlarge,cmp,prod,17.712,72,8,2073600,16.384,1,0,0,8,2073600,0.03075
2023-03-04,c5.2xlarge,io,prod,70.848,288,8,8294400,16.384,1,0,0,8,8294400,0.03075
2023-03-04,c5ad.16xlarge,io,prod,104.4758185743,91.448614,64,21069760.6656,131.072,8,2,2,48,15802320.4992,0.017850840967621900
2023-03-04,c5d.18xlarge,io,prod,3606.5259067092,2745.426987,72,711614675.0304000,147.456,9,2,2,56,553478080.5792000,0.01824511736439170
2023-03-04,c6id.16xlarge,io,prod,40.6803036427,29.952503,64,6901056.6912,131.072,8,2,2,48,5175792.5184,0.021221256347664400
2023-03-04,m5.4xlarge,cmp,prod,25.7374418932,72.165002,16,4156704.1152,65.536,2,1,1,8,2078352.0576,0.022290446528706500
2023-03-04,m5a.4xlarge,cmp,prod,32.4778945201,83.460284,16,4807312.3584,65.536,2,1,1,8,2403656.1792,0.024321369521175500
2023-03-04,m5ad.8xlarge,io,prod,10.7088104579,14.236664,32,1640063.6928000000,131.072,4,2,2,16,820031.8464000000,0.023506231994333400
2023-03-04,m5d.8xlarge,io,prod,398.88748969,565.7105750000000,32,65169858.24000000,131.072,4,2,2,16,32584929.120000000,0.022034649171641300
2023-03-04,m5dn.8xlarge,io,prod,15.1377785645,21.308331,32,2454719.7312,131.072,4,2,2,16,1227359.8656,0.02220049895698660
2023-03-04,m5n.4xlarge,cmp,prod,117.7495622946,231.164984,16,13315103.0784,65.536,2,1,1,8,6657551.5392,0.031835910076296400
2023-03-04,m6i.4xlarge,cmp,prod,0.410467551,1.005555,16,57919.968,65.536,2,1,1,8,28959.984,0.0255125
2023-03-04,m6id.8xlarge,io,prod,1.4909215539,2.190277,32,252319.9104,131.072,4,2,2,16,126159.9552,0.021271875
2023-03-04,m6idn.8xlarge,io,prod,79.6762028183,120.626124,32,13896129.4848,131.072,4,2,2,16,6948064.7424,0.02064131098228670
2023-03-04,m6in.4xlarge,cmp,prod,58.6756763673,89.587224,16,5160224.1024,65.536,2,1,1,8,2580112.0512,0.04093474057144860
2023-03-04,r5.2xlarge,cmp,prod,1605.5362753981,7464.223855,8,214969647.024,65.536,1,1,1,0,0,0.026887193943189000
2023-03-04,r5a.2xlarge,cmp,prod,162.8624833477,772.532785,8,22248944.208,65.536,1,1,1,0,0,0.026352034261513600
2023-03-04,r5ad.4xlarge,io,prod,2414.7762214292,4760.951393,16,274230800.2368,131.072,2,2,2,0,0,0.03170028454002430
2023-03-04,r5b.2xlarge,cmp,prod,120.0570787028,322.635559,8,9291904.0992,65.536,1,1,1,0,0,0.04651419975022040
2023-03-04,r5d.4xlarge,io,prod,1069.7157615218,2529.24996,16,145684797.696,131.072,2,2,2,0,0,0.026433621094181000
2023-03-04,r5dn.4xlarge,io,prod,3054.6977932369,7388.358127,16,425569428.1152,131.072,2,2,2,0,0,0.0258404653368945
2023-03-04,r5n.2xlarge,cmp,prod,163.6945039228,766.0903430000000,8,22063401.8784,65.536,1,1,1,0,0,0.026709399455711500
2023-03-04,r6a.2xlarge,cmp,prod,64.7155835832,313.756663,8,9036191.8944,65.536,1,1,1,0,0,0.025782553494011400
