EAN,Description,Size,BSP,Soc Date,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Old National #,Group,Group Item,Merch Cat. Code,Merch Cat. Desc
6009711860419,MDP MUFFIN LEM POPPY,4'S,223.27,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031863,MDP MUFFIN L/POP,BSSHE,B,SSHE
6009711860426,MDP MUFFIN LEMON POPPY,6'S,217.16,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031871,MDP MUFFIN L/POP,BSSHE,B,SSHE
6009711860433,MDP MUFFIN ASSORTED,12'S,149.03,2023-03-03T07:04:00,59.9800,59.9800,59.9800,59.9800,59.9800,59.4600,3031879,MDP MUFFIN ASS,BSSHE,B,SSHE
6009711860440,MDP MUFFIN G/C B/FOREST,6'S,209.36,2023-03-03T07:04:00,45.9800,45.9800,45.9800,45.9800,45.9800,45.5800,3031899,MDP MUFFIN GC BF,BSSHE,B,SSHE
6009711860457,MDP MUFFIN G/C BLUEBERRY,6'S,209.36,2023-03-03T07:04:00,45.9800,45.9800,45.9800,45.9800,45.9800,45.5800,3031891,MDP MUFFIN GC BB,BSSHE,B,SSHE
6009711860464,MDP MUFFIN G/C CHOC CARAM,6'S,209.36,2023-03-03T07:04:00,45.9800,45.9800,45.9800,45.9800,45.9800,45.5800,3031903,MDP MUFFIN GC CC,BSSHE,B,SSHE
6009711860471,MDP MUFFIN G/C STRAWBERRY,6'S,209.36,2023-03-03T07:04:00,45.9800,45.9800,45.9800,45.9800,45.9800,45.5800,3031911,MDP MUFFIN GC SB,BSSHE,B,SSHE
6009711860495,MDP CAKE BUNDT VANILLA,1'S,102.19,2023-03-03T07:04:00,82.9800,82.9800,82.9800,82.9800,82.9800,82.2600,3031927,MDP BUNDT VAN,BSSHE,B,SSHE
6009711860501,MDP MUFFIN Q/CAKES,10'S,170.32,2023-03-03T07:04:00,28.9800,28.9800,28.9800,28.9800,28.9800,28.7300,3031931,MDP MUFFIN Q/CAK,BSSHE,B,SSHE
6009711860518,MDP CAKE GINGER,8'S,191.61,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031935,MDP CAKE,BSSHE,B,SSHE
