relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-04,r5n.2xlarge,cmp,prod,83.956773829,280.974726,8,8092072.1088,0.03735067875330890
2023-06-04,r6a.2xlarge,cmp,prod,134.9960453621,448.938053,8,12929415.9264,0.03758760380747340
2023-06-04,r6i.2xlarge,cmp,prod,217.0818381501,755.095287,8,21746744.2656,0.035936166250713900
2023-06-04,r6id.4xlarge,io,prod,45.788687192000000,77.323603,16,4453839.5328,0.03701060010744710
2023-06-04,r6idn.4xlarge,io,prod,439.5911637421,730.9375210000000,16,42102001.2096,0.03758795648675050
2023-06-04,r6in.2xlarge,cmp,prod,41.8105666805,138.60723,8,3991888.2240000000,0.03770597561947170
2023-06-05,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-05,c5.2xlarge,io,prod,41.082,167,8,4809600,0.03075
2023-06-05,m5.4xlarge,cmp,prod,39.7806544213,89.285282,16,5142832.243200000,0.027846592916974300
2023-06-05,m5a.4xlarge,cmp,prod,31.8744128015,54.576395000000000,16,3143600.3520000000,0.03650205917949970
2023-06-05,m5ad.8xlarge,io,prod,204.2358700396,168.502787,32,19411521.062400000,0.03787694584978880
2023-06-05,m5d.8xlarge,io,prod,5578.2285744832,5265.352277,32,606568582.3104,0.03310692880209730
2023-06-05,m5dn.8xlarge,io,prod,95.4778560304,78.687783,32,9064832.601600000,0.03791799549048170
2023-06-05,m5n.4xlarge,cmp,prod,0.2989795886,0.497222,16,28639.9872,0.037581250000000000
2023-06-05,m6a.4xlarge,cmp,prod,79.00908887900000,140.401386,16,8087119.8336000000,0.03517107769105280
2023-06-05,m6i.4xlarge,cmp,prod,11.1073971204,20.618892,16,1187648.1792,0.033668750000000000
2023-06-05,m6id.8xlarge,io,prod,2.8366282141,2.330278,32,268448.0256,0.038040367583020100
2023-06-05,m6idn.8xlarge,io,prod,54.674952441500000,45.02945,32,5187392.64,0.037943884808650200
2023-06-05,m6in.4xlarge,cmp,prod,12.484176824800000,20.624446,16,1187968.0896000000,0.03783185504958530
2023-06-05,r5.2xlarge,cmp,prod,2415.5433725823,12418.094738,8,357641128.4544,0.024314754231084000
2023-06-05,r5a.2xlarge,cmp,prod,26.1147827588,87.647224,8,2524240.0512000000,0.037244166966999400
2023-06-05,r5ad.4xlarge,io,prod,2492.4115430107,4384.792768,16,252564063.4368,0.035526358868088900
2023-06-05,r5b.2xlarge,cmp,prod,178.7467954666,595.556385,8,17152023.888,0.037516765827848500
2023-06-05,r5d.4xlarge,io,prod,4091.9663959941,7298.491709,16,420393122.4384,0.03504119891432640
2023-06-05,r5dn.4xlarge,io,prod,2342.4294363475,4066.754943,16,234245084.7168,0.03599967094740160
2023-06-05,r5n.2xlarge,cmp,prod,194.31695405850000,649.976368,8,18719319.3984,0.0373700036695988
2023-06-05,r6a.2xlarge,cmp,prod,35.3751186353,117.29499100000000,8,3378095.7408000000,0.03769888033336820
2023-06-05,r6i.2xlarge,cmp,prod,109.16349883870000,375.593328,8,10817087.8464,0.03633035077459500
2023-06-05,r6id.4xlarge,io,prod,30.674341293700000,51.348330000000000,16,2957663.808,0.03733609897062380
2023-06-05,r6idn.4xlarge,io,prod,457.05384610880000,761.739439,16,43876191.6864,0.03750083548161930
2023-06-05,r6in.2xlarge,cmp,prod,63.409992173,208.575829,8,6006983.8752,0.03800176204321840
2023-06-06,c5.2xlarge,cmp,prod,24.354,99,8,2851200,0.03075
2023-06-06,c5.2xlarge,io,prod,34.194,139,8,4003200,0.030750000000000000
2023-06-06,m5.4xlarge,cmp,prod,21.9485515466,50.150003,16,2888640.1728,0.02735362691129850
2023-06-06,m5a.4xlarge,cmp,prod,22.5756327127,38.511387,16,2218255.8912,0.03663791814467110
2023-06-06,m5ad.8xlarge,io,prod,86.5756684169,71.35972700000000,32,8220640.550400000,0.037913396698226200
