date,instance_type,stack_type1,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-11-02 00:00:00,r5b.2xlarge,cmp,prod,83.2074372916,183.555264,8,5286391.6032,65.536,1,1,1,0,0.0,0.05666375038664110
2023-11-02 00:00:00,r5d.4xlarge,io,prod,2625.9866765898,3913.211682,16,225400992.8832,131.072,2,2,2,0,0.0,0.04194103989871060
2023-11-02 00:00:00,r5d.8xlarge,io,prod,3516.2918041782,3374.893078,32,388787682.5856,262.144,4,5,4,0,0.0,0.03255928894366260
2023-11-02 00:00:00,r5dn.4xlarge,io,prod,2916.3746912567,3706.214544,16,213477957.7344,131.072,2,2,2,0,0.0,0.04918048214413990
2023-11-02 00:00:00,r5dn.8xlarge,io,prod,236.6392898071,146.422488,32,16867870.617600000,262.144,4,5,4,0,0.0,0.050504385682012700
2023-11-02 00:00:00,r5n.2xlarge,cmp,prod,505.3877978894,1449.825867,8,41754984.9696,65.536,1,1,1,0,0.0,0.043573146385430700
2023-11-02 00:00:00,r6a.2xlarge,cmp,prod,132.5268808864,575.820594,8,16583633.1072,65.536,1,1,1,0,0.0,0.028769134489830300
2023-11-02 00:00:00,r6i.2xlarge,cmp,prod,117.4662710488,537.455301,8,15478712.668800000,65.536,1,1,1,0,0.0,0.02732000941060590
2023-11-02 00:00:00,r6id.4xlarge,io,prod,669.7548621978,954.476081,16,54977822.2656,131.072,2,2,2,0,0.0,0.04385618426761030
2023-11-02 00:00:00,r6id.8xlarge,io,prod,113.7105390724,109.988897,32,12670720.9344,262.144,4,5,4,0,0.0,0.03230739140890290
2023-11-02 00:00:00,r6idn.4xlarge,io,prod,2260.6150685047,2581.323387,16,148684227.0912,131.072,2,2,2,0,0.0,0.05473488618012660
2023-11-02 00:00:00,r6idn.8xlarge,io,prod,197.1161863973,112.60612,32,12972225.024,262.144,4,5,4,0,0.0,0.054702895587874100
2023-11-02 00:00:00,r6in.2xlarge,cmp,prod,459.4915926476,826.7339440000000,8,23809937.5872,65.536,1,1,1,0,0.0,0.06947392144449070
